"","geomean","quarter","concept","source"
"93",205.511308589707,2006 Q2,"flow","survey"
"94",186.417870890004,2006 Q3,"flow","survey"
"95",239.107506037775,2006 Q4,"flow","survey"
"96",271.172987711296,2007 Q1,"flow","survey"
"97",255.007750780662,2007 Q2,"flow","survey"
"98",246.906220652351,2007 Q3,"flow","survey"
"99",245.770005465237,2007 Q4,"flow","survey"
"100",270.040218437073,2008 Q1,"flow","survey"
"101",276.501862186692,2008 Q2,"flow","survey"
"102",269.838481225545,2008 Q3,"flow","survey"
"103",262.129056366192,2008 Q4,"flow","survey"
"104",284.811178571672,2009 Q1,"flow","survey"
"105",289.854973947807,2009 Q2,"flow","survey"
"106",259.291194943596,2009 Q3,"flow","survey"
"107",287.036704792756,2009 Q4,"flow","survey"
"108",297.744068119784,2010 Q1,"flow","survey"
"109",301.224088068238,2010 Q2,"flow","survey"
"110",262.07524420832,2010 Q3,"flow","survey"
"111",282.697021870798,2010 Q4,"flow","survey"
"112",339.585120438738,2011 Q1,"flow","survey"
"113",314.471810222544,2011 Q2,"flow","survey"
"114",279.810776294191,2011 Q3,"flow","survey"
"115",313.579883814318,2011 Q4,"flow","survey"
"116",336.961715208164,2012 Q1,"flow","survey"
"117",302.363335813009,2012 Q3,"flow","survey"
"118",315.029556227269,2012 Q4,"flow","survey"
"119",341.923146480201,2013 Q1,"flow","survey"
"120",333.01909114984,2013 Q2,"flow","survey"
"121",293.007865990887,2013 Q3,"flow","survey"
"122",325.162043460096,2013 Q4,"flow","survey"
"123",342.092088348294,2014 Q1,"flow","survey"
"124",363.272550242115,2014 Q2,"flow","survey"
"125",319.167962814132,2014 Q3,"flow","survey"
"126",349.067893783841,2014 Q4,"flow","survey"
"127",361.049596727639,2015 Q1,"flow","survey"
"128",346.747658126956,2015 Q2,"flow","survey"
"129",350.244899530031,2015 Q3,"flow","survey"
"130",350.809360321689,2015 Q4,"flow","survey"
"131",395.691578288662,2016 Q1,"flow","survey"
"132",387.943174468286,2016 Q2,"flow","survey"
"133",337.511557117686,2016 Q3,"flow","survey"
"134",374.885126717606,2016 Q4,"flow","survey"
"135",400.986157122522,2017 Q1,"flow","survey"
"136",382.206683879055,2017 Q2,"flow","survey"
"137",376.10685568958,2017 Q3,"flow","survey"
"138",392.173729089863,2017 Q4,"flow","survey"
"139",147.899747190166,1993 Q1,"stock","administrative"
"140",149.022291794032,1993 Q2,"stock","administrative"
"141",150.619956722165,1993 Q3,"stock","administrative"
"142",152.302818435818,1993 Q4,"stock","administrative"
"143",153.886178648532,1994 Q1,"stock","administrative"
"144",155.800513823413,1994 Q2,"stock","administrative"
"145",157.263608144137,1994 Q3,"stock","administrative"
"146",158.865309838979,1994 Q4,"stock","administrative"
"147",160.871951858283,1995 Q1,"stock","administrative"
"148",163.742131566745,1995 Q2,"stock","administrative"
"149",166.475141895064,1995 Q3,"stock","administrative"
"150",169.338188089676,1995 Q4,"stock","administrative"
"151",172.285950809916,1996 Q1,"stock","administrative"
"152",175.942232739709,1996 Q2,"stock","administrative"
"153",178.594215240936,1996 Q3,"stock","administrative"
"154",181.42723088089,1996 Q4,"stock","administrative"
"155",183.521560771205,1997 Q1,"stock","administrative"
"156",186.726206684361,1997 Q2,"stock","administrative"
"157",188.657234207243,1997 Q3,"stock","administrative"
"158",189.932593626028,1997 Q4,"stock","administrative"
"159",190.620053846165,1998 Q1,"stock","administrative"
"160",191.927749658531,1998 Q2,"stock","administrative"
"161",192.391623652342,1998 Q3,"stock","administrative"
"162",192.194637249148,1998 Q4,"stock","administrative"
"163",191.868868837567,1999 Q1,"stock","administrative"
"164",192.472029977926,1999 Q2,"stock","administrative"
"165",192.468930704708,1999 Q3,"stock","administrative"
"166",192.632932704565,1999 Q4,"stock","administrative"
"167",192.715615939239,2000 Q1,"stock","administrative"
"168",193.334301598741,2000 Q2,"stock","administrative"
"169",193.787345967927,2000 Q3,"stock","administrative"
"170",193.955397653971,2000 Q4,"stock","administrative"
"171",194.461805977942,2001 Q1,"stock","administrative"
"172",195.294844200261,2001 Q2,"stock","administrative"
"173",196.16598130728,2001 Q3,"stock","administrative"
"174",197.387205200881,2001 Q4,"stock","administrative"
"175",199.001688364325,2002 Q1,"stock","administrative"
"176",201.773901522463,2002 Q2,"stock","administrative"
"177",203.809835889802,2002 Q3,"stock","administrative"
"178",206.108854406205,2002 Q4,"stock","administrative"
"179",209.588291130175,2003 Q1,"stock","administrative"
"180",212.546626431079,2003 Q2,"stock","administrative"
"181",215.771548949043,2003 Q3,"stock","administrative"
"182",218.807664854081,2003 Q4,"stock","administrative"
"183",223.050830848755,2004 Q1,"stock","administrative"
"184",226.386836698623,2004 Q2,"stock","administrative"
"185",229.281647206272,2004 Q3,"stock","administrative"
"186",232.102392538827,2004 Q4,"stock","administrative"
"187",235.222438809742,2005 Q1,"stock","administrative"
"188",238.448504168894,2005 Q2,"stock","administrative"
"189",241.185392097311,2005 Q3,"stock","administrative"
"190",244.149855891877,2005 Q4,"stock","administrative"
"191",247.146682084667,2006 Q1,"stock","administrative"
"192",249.62608789142,2006 Q2,"stock","administrative"
"193",251.60913682114,2006 Q3,"stock","administrative"
"194",254.357074030367,2006 Q4,"stock","administrative"
"195",258.170142834687,2007 Q1,"stock","administrative"
"196",261.915522441842,2007 Q2,"stock","administrative"
"197",266.049644189638,2007 Q3,"stock","administrative"
"198",269.949948945925,2007 Q4,"stock","administrative"
"199",274.187469352531,2008 Q1,"stock","administrative"
"200",278.780637682311,2008 Q2,"stock","administrative"
"201",282.995039872784,2008 Q3,"stock","administrative"
"202",286.03870820668,2008 Q4,"stock","administrative"
"203",288.771565590111,2009 Q1,"stock","administrative"
"204",290.785423761722,2009 Q2,"stock","administrative"
"205",292.275212286268,2009 Q3,"stock","administrative"
"206",293.75815671458,2009 Q4,"stock","administrative"
"207",294.964781573381,2010 Q1,"stock","administrative"
"208",296.226220047015,2010 Q2,"stock","administrative"
"209",297.668847516378,2010 Q3,"stock","administrative"
"210",299.046418870273,2010 Q4,"stock","administrative"
"211",301.024669110768,2011 Q1,"stock","administrative"
"212",302.782983808985,2011 Q2,"stock","administrative"
"213",305.022775565684,2011 Q3,"stock","administrative"
"214",306.870862082519,2011 Q4,"stock","administrative"
"215",309.494241750837,2012 Q1,"stock","administrative"
"216",312.74612412148,2012 Q2,"stock","administrative"
"217",315.442547889336,2012 Q3,"stock","administrative"
"218",318.523255644761,2012 Q4,"stock","administrative"
"219",321.25833283391,2013 Q1,"stock","administrative"
"220",324.165041831035,2013 Q2,"stock","administrative"
"221",326.435880184542,2013 Q3,"stock","administrative"
"222",329.482062510404,2013 Q4,"stock","administrative"
"223",332.95922529614,2014 Q1,"stock","administrative"
"224",336.035280504764,2014 Q2,"stock","administrative"
"225",338.352651532895,2014 Q3,"stock","administrative"
"226",341.175295665879,2014 Q4,"stock","administrative"
"227",344.384210299946,2015 Q1,"stock","administrative"
"228",347.693860490728,2015 Q2,"stock","administrative"
"229",350.55323581235,2015 Q3,"stock","administrative"
"230",353.993996642058,2015 Q4,"stock","administrative"
"231",357.795197207088,2016 Q1,"stock","administrative"
"232",361.776510334933,2016 Q2,"stock","administrative"
"233",365.19178367206,2016 Q3,"stock","administrative"
"234",369.681881104238,2016 Q4,"stock","administrative"
"235",374.097967931753,2017 Q1,"stock","administrative"
"236",378.577599465965,2017 Q2,"stock","administrative"
"237",382.330073503144,2017 Q3,"stock","administrative"
"238",386.532242271922,2017 Q4,"stock","administrative"
"239",390.902190737346,2018 Q1,"stock","administrative"
"240",394.787849658199,2018 Q2,"stock","administrative"
"241",148.202066559016,1993 Q1,"flow","administrative"
"242",148.444286562553,1993 Q2,"flow","administrative"
"243",149.887738299534,1993 Q3,"flow","administrative"
"244",154.095070057942,1993 Q4,"flow","administrative"
"245",154.935438777056,1994 Q1,"flow","administrative"
"246",157.071093236773,1994 Q2,"flow","administrative"
"247",158.590149049598,1994 Q3,"flow","administrative"
"248",161.915941333721,1994 Q4,"flow","administrative"
"249",164.328421237482,1995 Q1,"flow","administrative"
"250",167.751440522879,1995 Q2,"flow","administrative"
"251",171.2926802488,1995 Q3,"flow","administrative"
"252",175.988056253334,1995 Q4,"flow","administrative"
"253",177.20808260984,1996 Q1,"flow","administrative"
"254",182.087452872947,1996 Q2,"flow","administrative"
"255",182.823923507783,1996 Q3,"flow","administrative"
"256",186.515998553974,1996 Q4,"flow","administrative"
"257",185.668043216214,1997 Q1,"flow","administrative"
"258",189.805860655703,1997 Q2,"flow","administrative"
"259",189.197848809736,1997 Q3,"flow","administrative"
"260",191.562703004052,1997 Q4,"flow","administrative"
"261",189.700533371015,1998 Q1,"flow","administrative"
"262",189.577314679564,1998 Q2,"flow","administrative"
"263",189.958031761787,1998 Q3,"flow","administrative"
"264",189.600806743663,1998 Q4,"flow","administrative"
"265",187.917894068041,1999 Q1,"flow","administrative"
"266",188.82540503897,1999 Q2,"flow","administrative"
"267",189.467071787103,1999 Q3,"flow","administrative"
"268",188.975297027316,1999 Q4,"flow","administrative"
"269",190.246011518176,2000 Q1,"flow","administrative"
"270",189.67108868158,2000 Q2,"flow","administrative"
"271",190.949017426521,2000 Q3,"flow","administrative"
"272",191.282814846283,2000 Q4,"flow","administrative"
"273",192.527926039145,2001 Q1,"flow","administrative"
"274",193.547609869298,2001 Q2,"flow","administrative"
"275",194.451595829507,2001 Q3,"flow","administrative"
"276",197.268514223501,2001 Q4,"flow","administrative"
"277",200.670367595484,2002 Q1,"flow","administrative"
"278",203.731864656073,2002 Q2,"flow","administrative"
"279",206.206920085513,2002 Q3,"flow","administrative"
"280",210.459941672024,2002 Q4,"flow","administrative"
"281",218.366638712035,2003 Q1,"flow","administrative"
"282",220.356742852825,2003 Q2,"flow","administrative"
"283",221.999523857846,2003 Q3,"flow","administrative"
"284",228.197979650442,2003 Q4,"flow","administrative"
"285",235.088247115031,2004 Q1,"flow","administrative"
"286",234.389035454262,2004 Q2,"flow","administrative"
"287",236.336754828358,2004 Q3,"flow","administrative"
"288",239.405391779776,2004 Q4,"flow","administrative"
"289",244.629839873879,2005 Q1,"flow","administrative"
"290",242.691864569685,2005 Q2,"flow","administrative"
"291",246.138294588411,2005 Q3,"flow","administrative"
"292",250.582619646073,2005 Q4,"flow","administrative"
"293",254.487856763584,2006 Q1,"flow","administrative"
"294",254.519086008139,2006 Q2,"flow","administrative"
"295",257.464381381167,2006 Q3,"flow","administrative"
"296",264.117313979234,2006 Q4,"flow","administrative"
"297",269.191539592532,2007 Q1,"flow","administrative"
"298",272.286089915633,2007 Q2,"flow","administrative"
"299",274.516177593034,2007 Q3,"flow","administrative"
"300",281.487337895917,2007 Q4,"flow","administrative"
"301",286.15658956459,2008 Q1,"flow","administrative"
"302",287.976336994685,2008 Q2,"flow","administrative"
"303",289.08616807189,2008 Q3,"flow","administrative"
"304",288.519549006814,2008 Q4,"flow","administrative"
"305",291.852119985976,2009 Q1,"flow","administrative"
"306",289.830489620218,2009 Q2,"flow","administrative"
"307",287.773102624049,2009 Q3,"flow","administrative"
"308",290.62252551224,2009 Q4,"flow","administrative"
"309",293.164404659478,2010 Q1,"flow","administrative"
"310",295.962147811792,2010 Q2,"flow","administrative"
"311",296.81999232471,2010 Q3,"flow","administrative"
"312",299.80343537313,2010 Q4,"flow","administrative"
"313",306.808500849029,2011 Q1,"flow","administrative"
"314",305.925093225869,2011 Q2,"flow","administrative"
"315",304.574109786787,2011 Q3,"flow","administrative"
"316",305.897073887734,2011 Q4,"flow","administrative"
"317",315.207761302845,2012 Q1,"flow","administrative"
"318",315.871822956634,2012 Q2,"flow","administrative"
"319",315.759923201074,2012 Q3,"flow","administrative"
"320",321.590307797104,2012 Q4,"flow","administrative"
"321",327.650370980576,2013 Q1,"flow","administrative"
"322",326.950926437393,2013 Q2,"flow","administrative"
"323",325.800088197588,2013 Q3,"flow","administrative"
"324",331.591451625088,2013 Q4,"flow","administrative"
"325",341.480003706505,2014 Q1,"flow","administrative"
"326",339.380642360459,2014 Q2,"flow","administrative"
"327",335.432089219183,2014 Q3,"flow","administrative"
"328",341.06157539203,2014 Q4,"flow","administrative"
"329",354.46757480771,2015 Q1,"flow","administrative"
"330",353.288176930457,2015 Q2,"flow","administrative"
"331",352.372347942159,2015 Q3,"flow","administrative"
"332",358.29789418976,2015 Q4,"flow","administrative"
"333",367.584525054933,2016 Q1,"flow","administrative"
"334",369.716965315969,2016 Q2,"flow","administrative"
"335",369.094225607461,2016 Q3,"flow","administrative"
"336",380.213639297313,2016 Q4,"flow","administrative"
"337",385.012297584169,2017 Q1,"flow","administrative"
"338",387.004256989571,2017 Q2,"flow","administrative"
"339",386.688749257707,2017 Q3,"flow","administrative"
"340",394.444441776013,2017 Q4,"flow","administrative"
"341",403.226648155099,2018 Q1,"flow","administrative"
"342",404.550538336239,2018 Q2,"flow","administrative"
